TimeLimit.truncated,actor_entropy,actor_loss,actor_target_entropy,alpha_loss,alpha_value,batch_reward,critic_entropy,critic_entropy_max,critic_entropy_min,critic_loss,critic_norm_entropy,critic_norm_entropy_max,critic_norm_entropy_min,duration,episode,episode_reward,episode_success,grasp_reward,grasp_success,in_place_reward,labeled_feedback,near_object,obj_to_target,reward_learning_acc,step,success,total_feedback,true_episode_reward,true_episode_success,unscaled_reward,vlm_acc
1.0,2.407796610422985,-1.6681605694136155,-4.0,0.6247358409340731,0.09749994397908418,-0.0008705779224193706,0.1276032723680527,1.3778278217287006,0.002433136647720196,0.18911119059982423,0.8789534882338109,9.57487058926202,0.017146762003207614,18.937783002853394,3.0,-0.43641541933175176,0.0,0.0008058120775207047,0.0,0.00010919540040079542,0.0,0.0,0.20166652647899955,0.0,1500,0.0,0.0,244.06941649623116,0.0,0.0031272063351672845,0.0
1.0,2.1077304387092592,-2.515897674322128,-4.0,0.5675823625326156,0.09292120885461473,-0.000873421652126126,0.10048102080821991,1.2648026876449585,0.0023231989666819574,0.0723515080139041,0.8272281295061111,10.41517480134964,0.019161572236567736,19.31565833091736,4.0,-0.44010418583638966,0.0,0.00025632636827485486,0.0,0.00010919540040079542,0.0,0.0,0.20166652647899955,0.0,2000,0.0,0.0,2.9618743757251065,0.0,0.0014787492074297348,0.0
1.0,2.0900446770191192,-3.34704145526886,-4.0,0.5399641371965408,0.08866148594466494,-0.000874902646522969,0.0854743159711361,1.1820618481040002,0.0015860304195666685,0.07345812112092971,0.7468068895339965,10.337281357765198,0.013886151257902385,21.76962447166443,5.0,-0.4401041909586638,0.0,0.0006267425048678064,0.0,1.0,0.0,0.0,0.0296576567358958,0.0,2500,1.0,0.0,3.125548552672543,0.0,10.0,0.0
1.0,1.9676000049114228,-4.178803549289704,-4.0,0.5051245256066322,0.08463902924866529,-0.0008758555002277717,0.08305764278769492,1.2972876762747765,0.0008818228883901611,0.09109308962523938,0.7358312497138977,11.492348777770996,0.007812282349914312,21.50054144859314,6.0,-0.4400852106628008,1.0,0.0001939074608149953,0.0,0.00010919540040079542,0.0,0.0,0.20166652647899955,0.0,3000,0.0,0.0,261.19287568593836,1.0,0.001291492485050156,0.0
1.0,1.9265700945854187,-5.00567216873169,-4.0,0.47919746536016466,0.08085717309462523,-0.0008765026533510536,0.07395688302814961,1.139440266251564,0.0007166453939862549,0.07293741006404161,0.6635134028196334,10.224130124092103,0.006426683166064322,20.556703567504883,7.0,-0.4401043201214634,0.0,0.00020751503943598968,0.0,0.00010919540040079542,0.0,0.0,0.20166652647899955,0.0,3500,0.0,0.0,3.29239138817786,0.0,0.0013323152209131393,0.0
1.0,1.9206750776767731,-5.712828498840332,-4.0,0.45735151559114456,0.07724779824764798,-0.0008770437387283891,0.06847906155884266,1.1219376971721648,0.0007823255331022665,0.0795874480381608,0.6262577753067017,10.262042779445649,0.007158594218082726,20.43181848526001,8.0,-0.4401043582474813,0.0,0.0002760116687420983,0.0,0.00010919540040079542,0.0,0.0,0.20166652647899955,0.0,4000,0.0,0.0,2.24970736307705,0.0,0.0015378051088314653,0.0
1.0,1.8582481608390808,-6.481371690750122,-4.0,0.4324440178871155,0.07381330942199654,-0.0008773779810871929,0.06391861536353827,1.0584908833503723,0.0006220318509149365,0.09564072985947132,0.5958901777267456,9.867709564685821,0.0058003144580870865,21.18423295021057,9.0,-0.4401045393315144,0.0,0.00019652670875779395,0.0,0.00010919540040079542,0.0,0.0,0.20166652647899955,0.0,4500,0.0,0.0,2.0171728948094922,0.0,0.001299350228878552,0.0
1.0,1.817247282743454,-7.183186185836792,-4.0,0.41047822892665864,0.07056190693822952,-0.0008777337420033291,0.060155200034379956,1.024259264409542,0.0006912732576020062,0.09930940444767475,0.5719961459636689,9.739796452999116,0.006573728589341045,21.189861536026,10.0,-0.44010458211414516,0.0,0.00010582428102471822,0.0,0.00010919540040079542,0.0,0.0,0.20166652647899955,0.0,5000,0.0,0.0,2.1357220666550405,0.0,0.0010272429456793248,0.0
1.0,1.83680561876297,-7.861491324424744,-4.0,0.3936715619564056,0.06744664117089137,-0.0008779588618781417,0.05760528650134802,1.000281534731388,0.0005944794378010556,0.12418427453935146,0.5583680139183999,9.696518497467041,0.005764857511036098,21.027408599853516,11.0,-0.4401041443925351,0.0,0.00023879382591779894,0.0,0.00010919540040079542,0.0,0.0,0.20166652647899955,0.0,5500,0.0,0.0,1.706734471638174,0.0,0.001426151580358567,0.0
1.0,1.8075582275390625,-8.561035083770753,-4.0,0.37439278692007066,0.06446405116290746,-0.0008781444847118109,0.055969638019800184,0.9460865200161934,0.0005533141026389785,0.13786695413291455,0.553035553753376,9.34882350730896,0.005472101568244398,21.967458486557007,12.0,-0.44010430411435664,0.0,9.991367190664896e-05,0.0,0.00010919540040079542,0.0,0.0,0.20166652647899955,0.0,6000,0.0,0.0,2.866901630275142,0.0,0.0010095111183251171,0.0
